Calling Program,Calling Method,Called Program
MDA0,ENTRC,MDA5
MDA0,ENTRC,MDI2
MDA0,ENTNC,NFA1
MDA0,ENTNC,MDA2
MDA0,ENTNC,MDA3
MDG1,ENTRC,MDG4
MDG1,ENTRC,XLGG
MDG1,ENTRC,FACE
MDG1,ENTRC,MDG8
MDG1,ENTNC,NFDG
MDG1,ENTNC,NFDF
MDG4,ENTRC,MDG5
MDG4,ENTRC,NIIB
MDG4,ENTRC,SUB1
MDG4,ENTNC,MDGE
MDG5,ENTRC,MDUJ
MDG5,ENTRC,SUB1
MSC1,ENTRC,UGB3
NAIA,ENTRC,NAIL
NAIA,ENTRC,NAII
NAIA,ENTRC,NAIJ
NAIA,ENTRC,NAIG
NAIA,ENTRC,NAIE
NAIA,ENTRC,NAID
NAIA,ENTRC,NAIM
NAIA,ENTRC,NAIF
NAIA,ENTRC,NAIH
NAIA,ENTRC,NAIN
NAIB,ENTRC,UCDR
NAID,ENTRC,NAIB
NAID,ENTRC,NAIC
NAIE,ENTRC,NAIC
NAIE,ENTRC,NAIB
NAIF,ENTRC,NAIC
NAIF,ENTRC,NAIB
NAIG,ENTRC,NAIC
NAIG,ENTRC,NAIB
NAIH,ENTRC,NAIB
NAIH,ENTRC,NAIC
NAII,ENTRC,NAIC
NAII,ENTRC,NAIB
NAIJ,ENTRC,NAIC
NAIJ,ENTRC,NAIB
NAIM,ENTRC,NAIC
NAIM,ENTRC,NAIB
NAIN,ENTRC,NAIC
NAIN,ENTRC,NAIB
NFA1,ENTNC,NFAR
NFA1,ENTRC,TOR6
NFA1,ENTNC,MDG1
NFA1,ENTNC,MDGI
NFA1,ENTNC,MDA0
NFA1,ENTRC,NFA6
NFA1,ENTNC,NFAG
NFA1,ENTNC,NFAA
NFA1,ENTNC,NFA5
NFA2,ENTRC,NFA7
NFA2,ENTRC,FACE
NFA2,ENTNC,NFA3
NFA2,ENTNC,NFH1
NFA2,ENTNC,MDA0
NFA2,ENTNC,NFB1
NFA2,ENTRC,NFB1
NFA2,ENTNC,NFA5
NFA3,ENTRC,NFA7
NFA3,ENTNC,NFA5
NFA3,ENTNC,NFR1
NFA3,ENTNC,NFR4
NFA3,ENTNC,NFH1
NFA3,ENTNC,NFD1
NFA4,ENTRC,NFA9
NFA4,ENTNC,NFA2
NFA4,ENTRC,UCDR
NFA4,ENTNC,NFA5
NFA4,ENTNC,NFV7
NFA5,ENTNC,NFP0
NFA5,ENTNC,NFAD
NFA5,ENTNC,FMSG
NFA5,ENTRC,NGR5
NFA5,ENTRC,UIO1
NFA5,ENTNC,NFAF
NFA5,ENTNC,NFN3
NFA5,ENTNC,NFEB
NFA6,ENTRC,MHSE
NFA6,ENTNC,NFA5
NFA7,ENTRC,NGR1
NFA7,ENTRC,NGR5
NFA7,ENTNC,NFA3
NFA7,ENTRC,NFB1
NFA7,ENTRC,NRE1
NFA7,ENTNC,NFA5
NFA7,ENTRC,WGT8
NFA8,ENTRC,UCDR
NFA8,ENTRC,NFA6
NFA8,ENTNC,NFA2
NFA9,ENTRC,NGR1
NFA9,ENTRC,NSL1
NFA9,ENTNC,NFA8
NFAA,ENTNC,NFA1
NFAA,ENTRC,UCDR
NFAA,ENTNC,NFAB
NFAA,ENTRC,SUB6
NFAA,ENTNC,NFA5
NFAB,ENTRC,NAZH
NFAB,ENTRC,UGB4
NFAB,ENTRC,NAZL
NFAB,ENTNC,NFAC
NFAB,ENTNC,NFA5
NFAC,ENTRC,UCDR
NFAC,ENTNC,NFA2
NFAC,ENTNC,NAE0
NFAD,ENTRC,NGR5
NFAD,ENTNC,NFN3
NFAF,CREDC,QPP1
NFAF,ENTNC,NFN3
NFAF,ENTNC,NFA5
NFAG,ENTRC,SUB6
NFAG,ENTRC,UCDR
NFAG,ENTRC,TFU0
NFAG,ENTNC,NFA5
NFAG,ENTRC,NFAI
NFAG,ENTNC,NFDB
NFAG,CREMC,NFN8
NFAG,ENTNC,NFA4
NFAH,ENTRC,KMD2
NFAH,ENTRC,NFA6
NFAH,ENTNC,NFAG
NFAJ,ENTRC,TOKN
NFAJ,ENTNC,FMSG
NFAJ,ENTRC,FMSG
NFAJ,ENTRC,FACE
NFAP,ENTNC,NFA1
NFAP,ENTRC,UCDR
NFAP,ENTNC,NFP0
NFAR,ENTNC,NFAS
NFAR,CREDC,QPP1
NFAS,ENTRC,UCDR
NFAS,ENTRC,NFRJ
NFAS,ENTNC,NFRC
NFB1,ENTNC,NFB4
NFB1,ENTNC,NFB3
NFB1,ENTRC,FMSG
NFB1,ENTRC,TFUW
NFB1,ENTRC,NGR1
NFB1,ENTRC,UCDR
NFB1,ENTRC,NFBE
NFB1,ENTRC,NSL1
NFB1,ENTRC,NFBA
NFB1,ENTNC,NFA5
NFB2,ENTRC,MHSC
NFB3,ENTRC,NGR1
NFB3,ENTRC,NFB7
NFB3,ENTRC,UCDR
NFB3,ENTRC,NSL1
NFB3,ENTRC,NFBE
NFB3,ENTRC,TFU0
NFB3,ENTRC,NFBB
NFB3,ENTNC,NFA5
NFB4,ENTNC,NFEB
NFB4,ENTNC,NFB3
NFB4,ENTNC,NFB5
NFB4,ENTRC,NFSA
NFB4,ENTNC,NFBC
NFB4,ENTNC,NFB6
NFB4,ENTNC,NFD7
NFB4,ENTRC,SZEP
NFB5,ENTRC,NFBE
NFB5,ENTRC,SZEP
NFB5,ENTNC,FMSG
NFB5,ENTRC,FMSG
NFB5,ENTRC,KMD2
NFB5,ENTNC,NFA5
NFB6,ENTNC,NFB8
NFB6,ENTRC,SZEP
NFB6,ENTNC,NFB5
NFB7,ENTRC,TAC1
NFB8,ENTRC,NFB9
NFB8,ENTDC,NFDC
NFB8,ENTNC,NFA5
NFBA,ENTRC,KSAU
NFBA,ENTRC,SZEP
NFBA,ENTNC,FMSG
NFBA,ENTRC,FMSG
NFBA,ENTNC,NFA5
NFBA,ENTRC,MSC1
NFBB,ENTRC,KSAU
NFBB,ENTRC,SZEP
NFBC,ENTNC,NFDD
NFBC,ENTRC,SZEP
NFBC,ENTNC,NFB5
NFBE,ENTRC,TAC1
NFBF,ENTRC,FACE
NFBF,ENTRC,NGR1
NFD1,ENTNC,NFD6
NFD1,ENTRC,NFD3
NFD1,ENTRC,NFD4
NFD1,ENTNC,NFD3
NFD3,ENTRC,FMSG
NFD3,ENTNC,NFB1
NFD3,ENTNC,FMSG
NFD3,ENTNC,UIO1
NFD4,ENTNC,NFD5
NFD4,ENTRC,FMSG
NFD4,ENTRC,NFD5
NFD5,ENTRC,PRIM
NFD5,ENTRC,FMSG
NFD6,ENTRC,NFD8
NFD6,ENTNC,NFP1
NFD6,ENTNC,NFA5
NFD6,ENTDC,NFDC
NFD7,ENTNC,NFA5
NFD9,ENTRC,NFDA
NFD9,ENTRC,FMSG
NFD9,ENTNC,FMSG
NFDA,ENTNC,FMSG
NFDA,ENTRC,FMSG
NFDB,ENTRC,LMSG
NFDB,ENTRC,FACE
NFDB,ENTRC,XLGG
NFDB,ENTRC,NFB2
NFDB,ENTRC,TOR1
NFDB,ENTNC,NFA5
NFDC,ENTRC,TOYL
NFDF,ENTRC,TAC1
NFDF,ENTNC,UIO1
NFE1,ENTRC,TAC1
NFE1,ENTRC,MDJD
NFE1,ENTNC,UIO1
NFE3,ENTRC,WGRY
NFF1,ENTNC,NFBF
NFF1,ENTNC,NFF2
NFF2,ENTNC,NFD9
NFF2,ENTRC,FACE
NFF2,ENTNC,NFD1
NFF2,ENTRC,NGR1
NFF2,ENTRC,FMSG
NFF2,ENTNC,FMSG
NFH1,ENTRC,FMSG
NFH1,ENTNC,UIO1
NFH1,ENTNC,FMSG
NFN1,ENTRC,UCDR
NFN1,ENTRC,NFN5
NFN1,ENTRC,NFN6
NFN1,ENTRC,NFN2
NFN1,ENTNC,NFN3
NFN2,ENTRC,LMSG
NFN2,ENTRC,FACE
NFN2,ENTRC,XLGG
NFN2,ENTRC,NFB2
NFN2,ENTRC,TOR1
NFN3,ENTRC,NFRL
NFN3,CREMC,NFN8
NFN3,ENTDC,NFA8
NFN3,ENTRC,NGA2
NFN3,CREMC,QPP1
NFN4,ENTRC,NFV2
NFN4,ENTNC,NFN1
NFN4,ENTRC,LMSG
NFN4,ENTNC,NFN3
NFN5,ENTRC,UCDR
NFN6,ENTNC,NFN2
NFN6,ENTNC,NFN3
NFN6,CREMC,QPP1
NFN8,ENTRC,UCDR
NFN8,ENTNC,NFA1
NFP0,ENTRC,NGR5
NFP1,ENTRC,NFP2
NFP1,ENTRC,UCDR
NFP1,ENTNC,NFP0
NFP2,ENTNC,NFP0
NFP3,ENTDC,TIX1
NFR1,ENTRC,UCDR
NFR1,ENTRC,NFR9
NFR1,ENTRC,HASA
NFR1,ENTRC,TFU3
NFR1,ENTRC,NFR6
NFR1,ENTRC,NFR5
NFR1,CREDC,SYUY
NFR1,ENTNC,NFR3
NFR1,ENTNC,NFR2
NFR1,ENTRC,NFR7
NFR1,CREDC,QPP1
NFR2,ENTRC,FMSG
NFR2,ENTNC,UIO1
NFR2,ENTRC,NFA5
NFR2,ENTNC,NFS1
NFR2,ENTRC,NFR7
NFR2,ENTNC,NFR3
NFR2,ENTNC,NFN3
NFR2,ENTNC,TIX1
NFR3,ENTRC,NFR8
NFR3,ENTRC,FMSG
NFR3,ENTRC,NFA5
NFR3,ENTRC,NFR5
NFR3,ENTRC,NFD2
NFR3,ENTNC,NFN4
NFR3,ENTNC,NFR2
NFR3,ENTNC,NFN3
NFR4,ENTRC,NGR1
NFR4,ENTRC,UCDR
NFR4,CREDC,SYUY
NFR4,CREEC,VMT1
NFR4,ENTNC,NFR1
NFR4,CREMC,NFR4
NFR4,ENTDC,SYUW
NFR6,ENTRC,UGB7
NFR7,ENTRC,FMSG
NFR8,ENTRC,NFS3
NFR9,ENTNC,NFRA
NFR9,ENTRC,NFSB
NFRA,ENTRC,NFBE
NFRA,ENTRC,NFRF
NFRA,ENTRC,SZEP
NFRA,ENTNC,NFRB
NFRA,ENTNC,NFRD
NFRA,ENTNC,NFRK
NFRA,ENTNC,NFRF
NFRB,ENTRC,NFRJ
NFRB,ENTNC,NFRC
NFRB,ENTNC,NFS7
NFRB,ENTNC,NFRD
NFRD,ENTRC,NFRJ
NFRD,ENTNC,NFS7
NFRD,ENTNC,NFRC
NFRD,ENTNC,NFRE
NFRD,ENTNC,NFRG
NFRE,ENTNC,NFRK
NFRE,ENTRC,NFRJ
NFRE,ENTNC,NFRC
NFRE,ENTNC,NFS7
NFRE,ENTNC,NFRG
NFRF,ENTRC,NSL1
NFRF,ENTNC,NFRB
NFRG,ENTNC,NFRK
NFRG,ENTRC,NFRJ
NFRG,ENTNC,NFS7
NFRG,ENTNC,NFRC
NFRH,ENTRC,NFRA
NFRH,CREMC,NFN8
NFRK,ENTRC,NFRJ
NFRK,ENTNC,NFRC
NFRL,ENTRC,NFAI
NFS1,ENTRC,NFS3
NFS1,ENTNC,NFN1
NFS1,ENTNC,NFS4
NFS1,ENTRC,NFS2
NFS2,ENTRC,FACE
NFS4,ENTRC,NFV2
NFS4,ENTNC,NFN1
NFS4,ENTNC,NFN3
NFS7,ENTRC,QBAE
NFS7,ENTRC,UCDR
NFS7,ENTRC,NFRJ
NFS7,ENTNC,NFRC
NFSA,ENTDC,NFB5
NFV0,ENTRC,TOYL
NFV0,CREDC,QPP1
NFV1,ENTRC,PLI3
NFV1,ENTRC,NFP3
NFV1,ENTRC,NFV0
NFV1,ENTRC,NFVB
NFV1,ENTRC,QBAE
NFV1,ENTNC,NFVD
NFV1,ENTDC,TIX1
NFV2,ENTRC,KGT3
NFV2,ENTRC,UCDR
NFV2,ENTRC,NOR7
NFV2,CREEC,NFV4
NFV2,CREMC,NFV0
NFV2,CREDC,QPP1
NFV3,ENTNC,NFA1
NFV3,CREMC,NFV3
NFV4,ENTNC,NFVC
NFV4,ENTRC,UCDR
NFV5,ENTNC,NFVE
NFV6,ENTRC,NOR7
NFV6,ENTRC,UCDR
NFV6,ENTRC,NGR1
NFV6,ENTRC,MSC1
NFV9,ENTRC,SZEP
NFVB,CREDC,SYUY
NFVB,ENTDC,TIX1
NFVC,ENTRC,TFU0
NFVC,ENTRC,NFVA
NFVC,ENTNC,NFV5
NFVC,ENTRC,UCDR
NFVC,ENTRC,MSC1
NFVD,ENTRC,NFV6
NFVD,ENTNC,NFV3
NFVD,ENTDC,TIX1
NFVD,ENTRC,MSC1
NFVE,ENTRC,UCDR
NFVE,CREEC,KOJM
